free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
1.0,1.0,0.11588965977383839,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.1224256074862567,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.8775743925137433,-1,0,0,0.0,-0.5000000000000004,False
1.0,1.0,0.1224256074862567,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.128961555198675,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.871038444801325,-1,0,0,0.0,-0.0,False
1.0,1.0,0.128961555198675,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.1354975029110933,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.8645024970889067,-1,0,0,0.0,-0.0,False
1.0,1.0,0.1354975029110933,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.1420334506235116,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.8579665493764883,-1,0,0,0.0,-0.0,False
1.0,1.0,0.1420334506235116,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.14856939833592991,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.85143060166407,-1,0,0,0.0,-0.0,False
1.0,1.0,0.14856939833592991,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.15510534604834822,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.8448946539516518,-1,0,0,0.0,-0.0,False
1.0,1.0,0.15510534604834822,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.16164129376076652,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.8383587062392335,-1,0,0,0.0,-0.0,False
1.0,1.0,0.16164129376076652,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.16817724147318483,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.8318227585268152,-1,0,0,0.0,-0.0,False
1.0,1.0,0.16817724147318483,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.17471318918560313,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.8252868108143968,-1,0,0,0.0,-0.0,False
1.0,1.0,0.17471318918560313,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.18124913689802144,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.8187508631019785,-1,0,0,0.0,-0.0,False
1.0,1.0,0.18124913689802144,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.18778508461043975,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.8122149153895603,-1,0,0,0.0,-0.0,False
1.0,1.0,0.18778508461043975,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.19432103232285805,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],-0.8056789676771419,-1,0,0,0.0,-0.0,False
1.0,1.0,0.19432103232285805,0.0,[1. 1. 1.],[1. 1. 1.],[1. 1. 1.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.20085698003527638,0.0,[1. 1. 1.],[0.9873452 1.        1.       ],[1. 1. 1.],[0.78389293 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.7991430199647236,-1,0,0,0.0,-0.0,False
1.0,1.0,0.20085698003527638,0.0,[1. 1. 1.],[0.9873452 1.        1.       ],[1. 1. 1.],[0.78389293 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.2073929277476947,0.0,[1. 1. 1.],[0.97130919 1.         1.        ],[1. 1. 1.],[0.78385066 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.7926070722523053,-1,0,0,0.0,-0.0,False
1.0,1.0,0.2073929277476947,0.0,[1. 1. 1.],[0.97130919 1.         1.        ],[1. 1. 1.],[0.78385066 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.213928875460113,0.0,[1. 1. 1.],[0.95548202 1.         1.        ],[1. 1. 1.],[0.78287948 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.786071124539887,-1,0,0,0.0,-0.0,False
1.0,1.0,0.213928875460113,0.0,[1. 1. 1.],[0.95548202 1.         1.        ],[1. 1. 1.],[0.78287948 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.2204648231725313,0.0,[1. 1. 1.],[0.9398211 1.        1.       ],[1. 1. 1.],[0.78343929 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.7795351768274688,-1,0,0,0.0,-0.0,False
1.0,1.0,0.2204648231725313,0.0,[1. 1. 1.],[0.9398211 1.        1.       ],[1. 1. 1.],[0.78343929 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.2270007708849496,0.0,[1. 1. 1.],[0.9243258 1.        1.       ],[1. 1. 1.],[0.78402105 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.7729992291150504,-1,0,0,0.0,-0.0,False
1.0,1.0,0.2270007708849496,0.0,[1. 1. 1.],[0.9243258 1.        1.       ],[1. 1. 1.],[0.78402105 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],0,1.0,1.0,0.2335367185973679,0.0,[1. 1. 1.],[0.90902221 1.         1.        ],[1. 1. 1.],[0.78366582 0.         0.        ],[0. 0. 0.],[1. 0. 0.],[0. 1. 0.],-0.7664632814026321,-1,0,0,0.0,-0.0,False
